bot,x_dest,x_avg_pos,y_dest,y_avg_pos,pos_err,time
usafabot0,22,-0.0198,22,2.202,29.611355862911783,0.0005231449904385954
usafabot1,22,-0.02,22,2.402,29.478161475912977,0.000639923004200682
usafabot2,22,-0.02,22,2.602,29.345575543853286,0.0007527499983552843
usafabot3,22,-0.016,22,2.2416,29.582065961659946,0.000850263997563161
usafabot4,22,-0.016,22,2.5616,29.369297753947063,0.0009465470066061243
usafabot5,22,-0.016,22,2.7216,29.26364574963277,0.0010429510002722964
usafabot6,22,-0.016,22,2.8815999999999997,29.15848889363096,0.0011370819993317127
usafabot7,22,-0.016,22,3.0416,29.0538325623316,0.0012323530099820346
usafabot8,22,1.904,22,4.8016,26.450598831784507,0.0013504369999282062
usafabot9,22,2.064,22,4.8016,26.329243410322295,0.001492932002292946
usafabot10,22,2.2239999999999998,22,4.8016,26.208302855392983,0.0015999359893612564
usafabot11,22,2.544,22,4.8016,25.96768951139088,0.0018473720119800419
usafabot12,22,2.7039999999999997,22,4.8016,25.848028523661142,0.0019733430090127513
usafabot13,22,2.864,22,4.8016,25.728806007275193,0.002082733000861481
usafabot14,22,3.024,22,4.8016,25.610028085888544,0.002191323001170531
usafabot15,22,4.784000000000001,22,2.7216,25.846612206631647,0.002293721991009079
usafabot16,22,4.784000000000001,22,2.5616,25.96617127263856,0.002391879999777302
usafabot17,22,4.784000000000001,22,2.2416,26.206583649151984,0.0024987700016936287
usafabot18,22,4.784000000000001,22,2.0816,26.327425141095738,0.0026153569924645126
usafabot19,22,2.864,22,0.0016,29.15675048012038,0.0027424479922046885
usafabot20,22,2.7039999999999997,22,0.0016,29.262009817509117,0.0028494180005509406
usafabot21,22,2.544,22,0.0016,29.367763594798976,0.0029603670118376613
usafabot22,22,2.2239999999999998,22,0.0016,29.58073323229159,0.003067369994823821
usafabot23,22,2.064,22,0.0016,29.68793860408634,0.003185413996106945
usafabot24,22,1.904,22,0.0016,29.795617438811366,0.003302104989415966
