bot,x_dest,x_avg_pos,y_dest,y_avg_pos,pos_err,time
usafabot0,2.8000000000000003,2.8114,2.0,2.0844,0.08516642530950795,17.010923584995908
usafabot1,2.6500000000000004,2.7552,2.5,2.48,0.10708426588439544,14.580355291996966
usafabot2,2.5,2.485,2.5,2.527,0.03088689042296118,12.713300431001699
usafabot3,2.2,2.2026,2.0,2.1008,0.1008335261706145,10.977502608991927
usafabot4,2.5,2.5666,3.0,3.0186,0.06914853577625513,12.329278760997113
usafabot5,2.35,2.2086,2.5,2.537,0.14616073344096214,20.088581482996233
usafabot6,0.0,-0.2088,0.0,4.2732,4.278298222424426,0
usafabot7,0.0,-0.36360000000000003,0.0,4.9562,4.969519433506624,0
usafabot8,0.0,1.4534,0.0,4.9928,5.200040711379095,0
usafabot9,0.0,2.2918,0.0,4.9248,5.431942772158043,0
usafabot10,0.0,2.8062,0.0,4.8794,5.628792303860572,0
usafabot11,0.0,3.4196,0.0,4.83,5.917986495422239,0
usafabot12,0.0,3.965,0.0,4.9626,6.352056655918617,0
usafabot13,0.0,4.4564,0.0,5.0518,6.736481589078975,0
usafabot14,0.0,9.1248,0.0,9.724,13.334847244719379,0
usafabot15,0.0,5.6954,0.0,4.1242,7.031828126454742,0
usafabot16,0.0,5.7804,0.0,3.0212,6.522321181910624,0
usafabot17,0.0,5.6622,0.0,1.922,5.979514431791264,0
usafabot18,0.0,5.7966,0.0,1.0415999999999999,5.889439881686543,0
usafabot19,0.0,5.3846,0.0,0.0386,5.384738352046457,0
usafabot20,0.0,4.8922,0.0,0.0782,4.89282495905995,0
usafabot21,0.0,3.9712,0.0,-0.0734,3.9718782710450733,0
usafabot22,0.0,3.1912,0.0,0.1898,3.1968392953040348,0
usafabot23,0.0,2.6202,0.0,0.219,2.629336235630582,0
usafabot24,0.0,1.9183999999999999,0.0,0.0336,1.918694222642055,0
